조직명,주소,전화번호,위도,경도
본부,경북 김천시 혁신2로 26,054-810-0132,36.1162007568943,128.182937293383
서울중앙지부,서울 서초구 법원로4길 17 ,02-3482-0132,37.4945786796797,127.011536342976
서울동부지부,"서울특별시 송파구 법원로 114, 엠스테이트 B동 317호 ",02-453-0708,37.4860552797801,127.12100938212
서울남부지부,서울 양천구 신월로 366 승소빌딩 2층,02-2646-6117,37.5219106204717,126.861774409667
서울북부지부,서울 도봉구 도봉로 801 제일정형외과 5층,02-978-4240,37.6759183755448,127.044354877417
서울서부지부,서울 마포구 마포대로 180 마포법조빌딩 4층,02-713-6039,37.5501896795951,126.955540593824
의정부지부,"경기 의정부시 서부로 707, 2층 ",031-876-0954,37.755817002922,127.038241253132
포천지소,경기 포천시 중앙로 87 포천시청 본관3층,031-531-5304,37.8946997465784,127.200338917804
남양주지소,경기도 남양주시 다산지금로16번길 87 (다산동) 강산타워 804호 및 805호,031-523-9202,37.6078354925262,127.170658938612
연천지소,경기도 연천군 연천읍 연천로 296 2층 ,031-8088-8042,38.1031642621127,127.075462595495
철원지소,강원 철원군 갈말읍 삼부연로 51 철원군청내 1층,033-452-0677,38.1467630109648,127.313401631163
고양출장소,"경기 고양시 일산동구 중앙로 1187, 흥국생명빌딩 3층 ",031-903-5132,37.6526192547913,126.776883538123
파주지소,경기도 파주시 금바위로 42 운정법조타운 8층 818호(와동동 1384),031-937-8500,37.7283227258667,126.760012646678
남양주출장소,경기도 남양주시 다산지금로16번길 87 (다산동) 강산타워 804호 및 805호,031-523-9202,37.6078354925262,127.170658938612
가평지소,"경기 가평군 가평읍 석봉로 166, 3층",031-581-0053,37.8300046145326,127.511036407063
인천지부,인천 미추홀구 소성로 171(학익동) 대흥빌딩 7층 701호~704호 706호~707호 ,032-874-3374,37.4419413046391,126.667304653006
강화지소,"인천광역시 강화군 강화읍 강화대로 306, 2층",032-724-9100,37.7416786475649,126.495737860393
