조직명,주소,E-MAIL,전화번호,FAX번호,우편번호,주소(영문),조직명(영문)
본부,경북 김천시 혁신2로 26,webmaster@klac.or.kr,054-810-0132,054-810-8003,39660,"26, hyeoksin 2-ro, Gimcheon-si, Gyeongsangbuk-do",Headquarters
서울중앙지부,서울 서초구 법원로4길 17 ,zpilqa9@klac.or.kr,02-3482-0132,02-3482-0560,6596,"Beopwon-ro 4gil 17, Seocho-gu, Seoul",Seoul Central Chapter
서울동부지부,"서울특별시 송파구 법원로 114, 엠스테이트 B동 317호 ",klac3001@klac.or.kr,02-453-0708,02-453-6611,5854,"Achasan-ro 390, Jeil Bldg. 3rd Fl., Gwangjin-gu, Seoul",Eastern Seoul Chapter
서울남부지부,서울 양천구 신월로 366 승소빌딩 2층,klac3002@klac.or.kr,02-2646-6117,02-2645-6115,8087,"Sinwol-ro 366, Seungso Bldg. 2nd Fl., Yangcheon-gu, Seoul",Southern Seoul Chapter
서울북부지부,서울 도봉구 도봉로 801 제일정형외과 5층,klac3003@klac.or.kr,02-978-4240,02-977-1666,1308,"Dobong-ro 801, Jeil Medical Clinic 3rd Fl., Dobong-gu, Seoul",Northern Seoul Chapter
서울서부지부,서울 마포구 마포대로 180 마포법조빌딩 4층,klac3004@klac.or.kr,02-713-6039,02-707-3749,4207,"Mapo-daero 180, Mapo Beopjo Bldg. 4th Fl., Mapo-gu, Seoul",Western Seoul Chapter
의정부지부,"경기 의정부시 서부로 707, 2층 ",klac3005@klac.or.kr,031-876-0954,031-871-6767,11615,"707, Seobu-ro, Uijeongbu-si, Gyeonggi-do",Uijeongbu Chapter
포천지소,경기 포천시 중앙로 87 포천시청 본관3층,klac3061@klac.or.kr,031-531-5304,031-531-5305,11147,"Jungang-ro 87, Pocheon City Hall 3rd Fl., Pocheon city, Gyeonggi-do",Pocheon Sub Branch
남양주지소,경기도 남양주시 다산지금로16번길 87 (다산동) 강산타워 804호 및 805호,klac3101@klac.or.kr,031-523-9202,031-568-8617,12284,"87, Dasanjigeum-ro 16beon-gil, Namyangju-si, Gyeonggi-do",Namyangju Sub Branch
연천지소,경기도 연천군 연천읍 연천로 296 2층 ,klac3102@klac.or.kr ,031-8088-8042,031-834-6976,11013,"2nd Fl.,  296, Yeoncheon-ro, Yeoncheon-eup, Yeoncheon-gun, Gyeonggi-do",Yeoncheon Sub Branch
철원지소,강원 철원군 갈말읍 삼부연로 51 철원군청내 1층,klac3063@klac.or.kr,033-452-0677,033-452-0678,24040,"Sambuyeon-ro 51, Cheorwon County Hall 1st Fl., Galmal-eup, Cheorwon-gun, Gangwon-do",Cheorwon Sub Branch
고양출장소,"경기 고양시 일산동구 중앙로 1187, 흥국생명빌딩 3층 ",klac3043@klac.or.kr,031-903-5132,031-904-5132,10414,"  1187, Jungang-ro, Ilsandong-gu, Goyang-si, Gyeonggi-do",Goyang Branch
